Wavelength,Flux,BestFit,SkyFlux
4601.506,53.839,55.474,4.702
4602.566,54.556,54.927,4.595
4603.626,55.464,55.421,4.692
4604.686,52.916,55.711,4.756
4605.746,50.799,55.849,4.819
4606.807,56.882,55.931,4.726
4607.868,55.234,55.295,4.825
4608.929,56.939,55.003,5.210
4609.990,54.239,55.922,5.215
4611.052,52.612,56.383,5.048
4612.114,53.798,56.120,5.021
4613.176,55.025,55.789,4.894
4614.238,57.832,55.821,4.699
4615.301,57.203,56.154,4.785
4616.364,54.047,56.112,5.031
4617.427,57.249,56.243,5.032
4618.490,55.247,56.412,4.755
4619.553,52.544,56.332,4.799
4620.617,53.493,56.305,4.797
4621.681,55.671,56.796,4.567
4622.746,53.725,56.570,4.914
4623.810,56.597,56.395,4.925
4624.875,56.371,56.595,4.790
4625.940,55.182,56.709,4.765
4627.005,56.638,56.386,4.964
4628.071,55.230,56.567,5.046
4629.137,54.274,56.630,4.979
4630.203,54.201,56.933,4.953
4631.269,56.111,56.951,4.966
4632.335,55.223,56.678,4.969
4633.402,54.686,56.925,4.896
4634.469,57.453,56.859,4.837
4635.536,55.175,56.752,4.847
4636.604,55.130,56.849,4.840
4637.672,54.906,56.796,4.942
4638.740,55.795,56.543,4.918
4639.808,56.239,56.616,4.724
4640.876,56.746,56.903,4.768
4641.945,56.880,56.737,5.046
4643.014,57.778,56.963,5.147
4644.083,55.691,57.284,4.911
4645.153,56.444,57.412,4.785
4646.222,56.189,57.722,4.813
4647.292,54.848,57.702,4.774
4648.363,54.269,57.439,4.735
4649.433,54.537,57.591,4.799
4650.504,55.302,57.486,4.929
4651.575,58.304,57.264,5.069
4652.646,57.558,57.930,5.047
4653.717,54.258,57.584,4.977
4654.789,56.203,57.601,5.040
4655.861,51.770,57.805,4.929
4656.933,53.124,58.241,5.008
4658.006,56.954,58.629,5.292
4659.078,57.289,58.278,5.450
4660.151,56.488,57.886,5.737
4661.224,61.167,58.374,6.037
4662.298,55.536,58.790,5.813
4663.371,56.560,58.739,5.462
4664.445,56.356,58.551,5.606
4665.519,55.812,58.610,5.558
4666.594,55.870,58.628,5.240
4667.668,53.730,58.391,5.161
4668.743,53.815,58.391,5.318
4669.818,53.404,58.485,5.427
4670.894,54.832,58.529,5.632
4671.970,57.900,58.641,5.797
4673.045,56.051,58.362,5.596
4674.122,56.010,58.644,5.655
4675.198,57.824,59.226,5.867
4676.275,60.618,59.454,5.577
4677.351,59.699,59.487,5.543
4678.429,58.412,59.886,5.426
4679.506,56.721,59.391,5.375
4680.584,55.063,58.656,5.295
4681.661,55.238,59.291,5.324
4682.740,56.932,60.010,5.235
4683.818,59.342,59.961,5.240
4684.896,57.562,60.281,5.345
4685.975,59.021,60.403,5.441
4687.054,59.274,60.139,5.303
4688.134,59.464,60.524,5.280
4689.213,58.974,60.882,5.440
4690.293,58.485,60.658,5.336
4691.373,58.924,60.465,5.135
4692.454,58.771,60.137,5.175
4693.534,59.464,60.018,5.162
4694.615,59.296,59.854,5.196
4695.696,58.541,59.621,5.282
4696.778,58.110,59.642,5.228
4697.859,59.250,60.139,5.240
4698.941,59.021,60.409,5.056
4700.023,57.868,59.915,4.810
4701.106,61.604,59.701,4.661
4702.188,57.404,59.924,4.853
4703.271,57.868,60.151,4.935
4704.354,57.133,60.221,4.750
4705.437,58.755,60.506,5.030
4706.521,60.508,60.334,5.367
4707.605,57.503,60.119,5.271
4708.689,55.661,60.329,5.235
4709.773,55.738,60.661,5.505
4710.858,56.811,60.411,5.668
4711.943,58.454,60.233,5.546
4713.028,60.716,60.483,5.350
4714.113,60.041,60.435,5.181
4715.199,55.924,60.332,5.078
4716.285,60.195,60.345,5.213
4717.371,59.266,60.212,5.302
4718.457,60.995,60.727,5.432
4719.544,58.183,60.725,5.600
4720.630,54.515,60.716,5.508
4721.718,58.370,60.803,5.298
4722.805,57.941,61.006,5.235
4723.892,58.480,61.408,5.391
4724.980,61.114,61.199,5.634
4726.068,58.359,61.474,5.592
4727.157,56.825,61.430,5.342
4728.245,55.833,61.218,5.347
4729.334,55.711,61.150,5.468
4730.423,59.131,60.979,5.548
4731.513,58.150,60.987,5.674
4732.602,58.896,61.268,5.709
4733.692,59.807,60.933,5.604
4734.782,56.399,60.897,5.545
4735.872,58.548,61.346,5.416
4736.963,59.095,60.971,5.515
4738.054,58.481,60.757,5.507
4739.145,57.891,60.972,5.547
4740.236,61.942,61.208,5.817
4741.328,59.001,61.476,5.747
4742.420,57.073,61.650,5.849
4743.512,57.412,61.407,5.996
4744.604,59.846,61.421,6.267
4745.697,59.398,61.709,5.982
4746.790,58.030,61.556,5.473
4747.883,59.008,61.558,5.379
4748.976,59.149,61.816,5.326
4750.070,59.745,61.467,5.241
4751.164,58.492,61.493,5.352
4752.258,58.033,61.750,5.498
4753.352,58.404,61.806,5.586
4754.447,58.920,61.898,5.605
4755.542,59.260,61.968,5.455
4756.637,58.388,61.569,5.216
4757.732,57.364,61.522,5.060
4758.828,57.279,61.473,4.928
4759.924,57.793,61.305,4.956
4761.020,58.279,61.391,5.109
4762.116,57.149,61.835,5.070
4763.213,57.963,62.158,5.075
4764.310,55.585,62.038,5.050
4765.407,57.108,61.329,4.930
4766.504,58.050,61.427,4.822
4767.602,59.257,61.655,4.823
4768.700,54.891,61.300,5.089
4769.798,60.187,61.069,5.158
4770.897,59.047,61.204,5.068
4771.995,58.584,61.475,5.104
4773.094,59.170,61.793,5.208
4774.193,61.470,61.882,5.155
4775.293,60.205,61.881,5.026
4776.392,58.547,62.136,5.012
4777.492,60.184,61.758,5.126
4778.593,62.060,61.562,5.328
4779.693,60.256,61.583,5.470
4780.794,59.416,61.693,5.353
4781.895,61.645,61.693,5.212
4782.996,59.997,61.481,5.228
4784.097,57.866,61.501,5.140
4785.199,58.310,61.383,4.878
4786.301,59.240,61.358,4.969
4787.403,57.297,61.011,5.142
4788.506,61.650,60.741,4.957
4789.608,59.924,61.563,4.820
4790.711,57.680,61.738,5.313
4791.815,60.764,61.464,5.276
4792.918,60.110,61.147,4.991
4794.022,59.375,61.084,4.969
4795.126,63.509,61.285,4.945
4796.230,62.360,61.481,5.081
4797.334,60.377,61.467,5.216
4798.439,60.530,61.293,5.180
4799.544,59.993,61.507,5.117
4800.650,59.677,61.458,5.035
4801.755,60.532,60.964,4.922
4802.861,59.997,60.935,5.082
4803.967,61.125,61.089,5.251
4805.073,61.699,60.947,5.168
4806.180,58.812,60.588,5.149
4807.286,59.191,60.604,5.182
4808.393,61.536,60.832,5.184
4809.501,60.671,60.421,5.327
4810.608,59.974,60.146,5.334
4811.716,61.156,60.504,5.266
4812.824,60.962,60.765,5.236
4813.933,62.079,60.758,5.286
4815.041,61.480,60.701,5.413
4816.150,58.974,60.700,5.184
4817.259,63.153,60.639,5.519
4818.368,62.677,60.215,5.804
4819.478,61.484,60.265,5.684
4820.588,61.358,60.476,5.762
4821.698,60.192,60.332,5.879
4822.808,62.911,60.054,5.764
4823.919,59.361,59.940,5.648
4825.030,59.839,59.587,5.653
4826.141,60.481,59.472,5.592
4827.252,63.838,59.146,5.632
4828.364,59.128,58.712,5.806
4829.476,56.847,59.017,5.788
4830.588,60.364,58.876,5.605
4831.700,62.470,58.845,5.506
4832.813,62.449,58.767,5.595
4833.926,62.048,58.606,5.815
4835.039,61.238,58.370,5.793
4836.153,58.729,58.059,5.717
4837.266,60.319,58.011,5.811
4838.380,60.780,57.904,5.803
4839.494,60.430,58.117,5.760
4840.609,59.847,57.767,6.066
4841.724,60.761,57.065,5.900
4842.839,61.531,57.594,5.745
4843.954,58.888,57.877,5.640
4845.069,61.980,56.949,5.477
4846.185,58.373,56.810,5.667
4847.301,59.102,57.019,5.820
4848.417,58.670,56.830,5.737
4849.534,58.018,56.727,5.441
4850.651,58.487,56.140,5.262
4851.768,56.847,56.531,5.347
4852.885,60.480,56.533,5.524
4854.003,58.022,56.112,5.536
4855.120,55.253,55.978,5.396
4856.238,52.892,56.319,5.226
4857.357,52.224,56.896,5.132
4858.475,51.694,57.217,5.127
4859.594,48.129,57.451,4.999
4860.713,40.905,57.912,4.952
4861.833,34.322,58.587,5.162
4862.952,35.415,59.062,5.263
4864.072,42.411,59.050,5.192
4865.192,47.802,58.909,5.244
4866.313,51.243,57.864,5.337
4867.433,54.417,56.599,5.297
4868.554,55.824,56.353,5.168
4869.675,58.783,57.142,5.144
4870.797,57.655,56.941,5.285
4871.918,54.771,56.476,5.339
4873.040,53.646,56.343,5.134
4874.162,59.703,56.570,5.074
4875.285,58.631,56.891,5.179
4876.408,58.096,57.031,5.328
4877.531,60.914,56.934,5.418
4878.654,58.198,56.739,5.563
4879.777,59.216,56.830,5.835
4880.901,62.929,57.231,5.946
4882.025,62.376,57.612,5.883
4883.149,59.403,57.745,5.947
4884.274,59.360,58.177,5.796
4885.399,59.937,58.482,5.650
4886.524,60.380,58.868,5.509
4887.649,61.377,59.056,5.492
4888.774,62.394,59.044,5.551
4889.900,60.246,59.301,5.504
4891.026,57.552,59.377,5.320
4892.153,59.702,59.524,5.283
4893.279,63.409,59.912,5.488
4894.406,63.451,59.973,5.622
4895.533,62.730,59.627,5.601
4896.661,63.804,59.712,5.679
4897.788,63.871,60.317,5.697
4898.916,63.630,60.617,5.668
4900.044,62.401,60.889,5.639
4901.173,64.903,61.015,5.436
4902.301,66.845,61.067,5.398
4903.430,64.894,61.392,5.512
4904.559,65.180,61.251,5.490
4905.689,64.743,61.471,5.485
4906.819,68.499,61.506,5.576
4907.949,66.385,61.438,5.623
4909.079,65.131,61.780,5.452
4910.209,63.630,62.429,5.351
4911.340,63.693,62.116,5.383
4912.471,64.517,62.468,5.131
4913.602,62.829,62.406,5.303
4914.734,67.932,62.046,5.577
4915.866,66.783,62.198,5.585
4916.998,69.155,62.802,5.653
4918.130,64.113,62.593,5.687
4919.263,61.318,62.440,5.334
4920.395,59.713,62.908,4.946
4921.528,60.819,63.103,4.963
4922.662,60.995,62.701,5.106
4923.795,60.597,62.678,5.298
4924.929,62.193,62.775,5.408
4926.063,64.204,61.869,5.419
4927.198,67.296,62.425,5.456
4928.332,67.101,63.110,5.454
4929.467,65.454,62.588,5.445
4930.603,67.728,62.414,5.457
4931.738,67.603,63.112,5.253
4932.874,65.124,63.490,5.203
4934.010,64.720,63.461,5.254
4935.146,64.994,63.603,5.245
4936.282,63.904,63.920,5.475
4937.419,66.098,63.814,5.562
4938.556,63.836,63.839,5.505
4939.693,62.460,63.951,5.310
4940.831,63.593,63.941,5.302
4941.969,66.309,64.107,5.404
4943.107,67.062,64.524,5.510
4944.245,67.294,64.730,5.575
4945.384,67.129,64.756,5.589
4946.523,66.004,65.391,5.459
4947.662,66.226,65.591,5.398
4948.801,67.634,65.549,5.518
4949.941,67.677,65.843,5.524
4951.081,65.102,66.365,5.594
4952.221,66.574,66.861,5.694
4953.361,67.992,67.313,5.671
4954.502,69.895,68.153,5.740
4955.643,70.452,68.787,5.722
4956.784,65.122,69.188,5.485
4957.926,63.552,70.298,5.282
4959.067,64.679,71.471,5.249
4960.209,65.048,72.630,5.349
4961.352,68.012,73.417,5.503
4962.494,66.671,73.082,5.720
4963.637,66.939,71.660,5.820
4964.780,69.641,70.054,5.859
4965.923,68.443,68.237,5.860
4967.067,67.029,67.713,5.712
4968.211,67.159,67.253,5.772
4969.355,68.752,66.438,6.009
4970.499,69.181,65.955,6.010
4971.644,66.410,66.385,6.139
4972.789,66.278,66.703,6.297
4973.934,67.300,66.566,6.192
4975.079,68.166,67.203,6.342
4976.225,68.953,67.570,6.548
4977.371,68.339,67.253,6.688
4978.517,67.961,67.714,6.850
4979.664,67.890,68.140,6.853
4980.810,65.850,67.893,7.041
4981.957,67.426,67.381,7.281
4983.105,63.844,67.124,7.273
4984.252,61.406,67.227,7.036
4985.400,63.875,67.331,7.065
4986.548,66.720,67.244,6.969
4987.696,64.112,67.856,7.032
4988.845,67.314,68.186,7.003
4989.994,67.537,68.221,6.850
4991.143,65.328,68.206,6.730
4992.292,65.017,68.033,6.450
4993.442,70.028,68.265,6.474
4994.592,70.957,67.989,6.287
4995.742,68.805,68.202,6.098
4996.892,69.102,68.736,5.947
4998.043,68.692,69.018,5.898
4999.194,71.470,69.335,5.969
5000.345,70.136,70.469,5.887
5001.497,67.633,70.751,5.924
5002.649,63.531,71.524,6.200
5003.801,65.684,73.065,5.864
5004.953,66.453,75.302,5.716
5006.106,65.463,78.515,5.892
5007.258,63.041,81.739,5.830
5008.411,62.739,84.820,5.763
5009.565,67.954,87.044,5.783
5010.718,69.199,86.148,5.582
5011.872,67.200,81.474,5.493
5013.026,65.665,75.366,5.464
5014.181,64.601,69.922,5.188
5015.336,64.939,67.284,5.365
5016.491,65.249,66.140,5.684
5017.646,64.360,65.404,5.508
5018.801,65.863,65.154,5.371
5019.957,64.887,65.770,5.503
5021.113,64.872,66.201,5.607
5022.269,70.280,66.316,5.550
5023.426,67.542,66.762,5.482
5024.583,66.396,67.203,5.660
5025.740,70.171,67.347,5.728
5026.897,70.160,67.786,5.573
5028.055,69.961,68.900,5.401
5029.213,69.857,68.604,5.464
5030.371,67.954,68.571,5.604
5031.529,69.787,68.670,5.692
5032.688,69.161,68.707,5.883
5033.847,70.318,69.554,5.831
5035.006,69.501,69.857,5.741
5036.166,68.808,69.155,5.482
5037.325,65.648,69.333,5.453
5038.485,69.607,69.640,5.420
5039.646,64.232,69.286,5.326
5040.806,67.222,69.315,5.279
5041.967,62.861,69.769,5.167
5043.128,64.903,69.699,5.115
5044.289,69.097,69.768,5.269
5045.451,69.479,69.951,5.613
5046.613,71.186,69.982,5.892
5047.775,70.499,70.125,5.845
5048.938,71.002,70.744,5.646
5050.100,67.869,71.049,5.112
5051.263,70.599,70.830,5.393
5052.426,66.951,70.750,5.393
5053.590,70.015,71.011,5.122
5054.754,72.568,71.018,5.565
5055.918,70.088,71.083,5.734
5057.082,70.898,71.233,5.790
5058.247,73.360,71.121,5.658
5059.411,71.722,71.051,5.736
5060.577,71.308,71.388,5.800
5061.742,71.964,71.842,5.736
5062.908,71.243,71.621,5.793
5064.073,71.442,71.605,5.812
5065.240,67.953,71.475,5.783
5066.406,68.935,71.207,5.720
5067.573,71.455,71.212,5.580
5068.740,70.078,71.579,5.763
5069.907,69.566,71.332,6.007
5071.075,70.750,71.936,6.283
5072.242,73.237,72.165,6.197
5073.410,71.400,71.973,5.699
5074.579,71.271,71.950,5.414
5075.747,73.990,72.117,5.564
5076.916,71.178,72.158,5.807
5078.085,69.829,72.274,5.871
5079.255,69.948,72.447,5.553
5080.424,69.134,72.331,5.418
5081.594,67.463,72.048,5.832
5082.765,69.820,72.212,6.422
5083.935,71.712,72.461,6.784
5085.106,69.177,72.414,6.882
5086.277,73.495,72.367,7.033
5087.448,73.791,72.500,7.162
5088.620,71.141,72.691,6.792
5089.792,75.207,72.645,6.350
5090.964,72.309,72.337,6.257
5092.136,71.944,72.650,6.074
5093.309,72.825,72.952,5.826
5094.482,72.269,72.860,5.785
5095.655,76.294,72.763,5.740
5096.828,74.744,73.117,5.770
5098.002,73.340,73.009,5.863
5099.176,71.505,72.926,5.735
5100.350,71.345,72.946,5.939
5101.525,72.294,72.801,6.095
5102.700,75.735,72.640,6.120
5103.875,73.429,72.892,6.126
5105.050,73.557,72.823,5.829
5106.226,73.290,72.975,5.516
5107.402,72.918,73.062,5.596
5108.578,72.651,73.056,5.467
5109.754,72.440,73.140,5.547
5110.931,71.398,73.268,5.574
5112.108,75.676,73.030,5.520
5113.285,74.302,73.206,5.883
5114.463,74.455,73.167,5.951
5115.640,75.470,73.243,5.899
5116.818,75.616,73.446,5.823
5117.997,76.375,73.105,5.682
5119.175,78.492,73.333,5.885
5120.354,77.735,73.549,5.867
5121.533,75.207,73.644,5.163
5122.713,73.059,73.728,5.373
5123.892,74.287,73.803,5.275
5125.072,71.694,73.723,5.384
5126.253,71.975,73.486,5.458
5127.433,72.537,73.301,5.268
5128.614,74.586,73.413,5.406
5129.795,71.819,73.523,5.399
5130.976,73.787,73.539,5.491
5132.158,73.274,73.725,5.495
5133.340,73.782,73.583,5.679
5134.522,71.173,73.692,5.901
5135.704,71.305,73.695,5.870
5136.887,75.907,73.614,5.889
5138.070,71.840,73.676,5.736
5139.253,71.738,73.770,5.685
5140.437,71.119,73.522,5.521
5141.620,72.040,74.006,5.686
5142.804,72.639,73.743,5.964
5143.989,69.493,73.345,5.969
5145.173,72.491,73.641,5.891
5146.358,75.881,73.953,5.677
5147.543,74.586,73.954,5.776
5148.729,73.253,73.792,6.038
5149.914,75.041,73.679,6.296
5151.100,74.394,73.631,6.249
5152.286,70.119,73.678,6.381
5153.473,72.914,73.912,6.377
5154.660,72.678,74.068,6.633
5155.847,71.788,73.575,6.797
5157.034,73.059,73.805,6.293
5158.222,74.363,74.053,6.313
5159.410,73.724,73.650,6.225
5160.598,74.436,73.540,6.060
5161.786,74.487,73.937,6.127
5162.975,78.304,74.414,5.809
5164.164,77.151,74.126,5.691
5165.353,74.335,73.858,5.758
5166.542,71.808,74.064,5.433
5167.732,64.951,73.871,5.217
5168.922,64.473,73.412,5.130
5170.113,67.410,73.210,5.162
5171.303,70.382,73.052,5.123
5172.494,65.126,73.070,4.882
5173.685,62.687,73.092,4.850
5174.877,66.727,72.674,5.169
5176.068,73.455,72.787,5.446
5177.260,75.750,73.358,5.854
5178.453,76.278,73.605,5.882
5179.645,76.242,73.754,5.767
5180.838,77.388,74.031,5.724
5182.031,75.574,74.043,5.499
5183.224,71.922,73.971,5.117
5184.418,64.883,73.963,4.674
5185.612,64.764,73.612,4.698
5186.806,69.900,73.623,5.302
5188.000,72.305,74.061,5.680
5189.195,72.530,73.929,5.871
5190.390,69.334,74.172,5.930
5191.585,72.397,74.727,5.825
5192.781,72.602,74.684,5.736
5193.977,68.722,74.446,5.586
5195.173,75.245,74.429,5.530
5196.369,73.630,74.369,5.544
5197.566,70.699,74.817,6.740
5198.763,74.749,74.790,8.278
5199.960,76.139,74.896,8.423
5201.157,76.613,75.276,7.979
5202.355,75.220,75.593,7.506
5203.553,74.857,75.609,6.786
5204.752,72.398,75.481,6.185
5205.950,70.022,75.238,5.787
5207.149,70.933,75.164,5.542
5208.348,72.052,74.980,5.645
5209.547,72.267,74.729,5.728
5210.747,71.978,74.956,5.886
5211.947,75.703,75.081,6.098
5213.147,74.495,74.793,6.104
5214.348,77.399,75.030,6.164
5215.549,77.344,75.340,5.870
5216.750,73.813,75.504,5.764
5217.951,74.775,76.097,5.863
5219.153,74.982,75.787,5.990
5220.355,78.395,75.329,6.164
5221.557,78.304,75.688,6.305
5222.759,76.556,76.077,6.435
5223.962,76.750,75.917,6.500
5225.165,77.802,75.832,6.283
5226.368,74.717,75.624,5.796
5227.572,72.096,75.763,5.422
5228.776,68.223,75.390,5.463
5229.980,72.544,75.170,5.795
5231.184,76.474,75.738,5.886
5232.389,76.677,76.236,5.964
5233.594,74.488,75.717,5.826
5234.799,74.048,75.872,5.903
5236.004,73.832,75.849,5.862
5237.210,75.861,75.834,5.772
5238.416,79.775,76.148,6.173
5239.623,79.650,76.270,6.789
5240.829,76.592,76.240,6.784
5242.036,77.381,76.111,6.300
5243.243,77.773,76.237,5.826
5244.451,79.121,76.335,6.119
5245.658,79.706,76.247,6.323
5246.866,77.007,76.288,6.056
5248.075,78.008,76.287,6.079
5249.283,76.875,76.561,5.987
5250.492,79.057,76.556,5.869
5251.701,77.825,76.220,5.848
5252.910,79.207,76.229,5.876
5254.120,78.324,76.930,5.732
5255.330,79.186,76.609,6.084
5256.540,78.394,76.520,6.539
5257.751,80.906,76.564,6.859
5258.962,81.162,76.790,6.676
5260.173,80.736,77.073,6.334
5261.384,79.166,77.034,6.080
5262.596,77.111,77.276,5.877
5263.808,73.471,77.329,5.646
5265.020,72.400,77.229,5.451
5266.232,73.944,77.166,5.474
5267.445,73.246,77.067,5.500
5268.658,75.089,76.638,5.429
5269.871,74.234,76.115,5.386
5271.085,71.137,76.576,5.433
5272.299,72.327,77.049,5.626
5273.513,75.168,77.103,5.970
5274.727,78.186,76.975,5.914
5275.942,77.420,77.028,6.200
5277.157,75.740,77.367,6.416
5278.372,82.006,77.205,6.309
5279.588,81.825,77.271,6.173
5280.803,80.726,77.621,6.245
5282.019,76.600,77.676,6.129
5283.236,77.181,77.238,5.758
5284.453,77.274,77.378,5.705
5285.669,76.390,77.551,6.052
5286.887,79.206,77.380,6.429
5288.104,82.470,77.320,6.538
5289.322,81.221,77.511,6.254
5290.540,82.224,77.547,6.202
5291.758,82.979,78.064,6.470
5292.977,80.499,78.232,6.127
5294.196,83.406,78.216,6.079
5295.415,84.012,78.271,6.234
5296.634,82.259,78.340,6.262
5297.854,78.590,78.260,6.159
5299.074,76.892,78.330,6.030
5300.294,81.172,78.136,6.226
5301.515,78.176,77.899,6.301
5302.736,80.040,78.303,6.105
5303.957,80.525,78.973,6.305
5305.178,83.386,78.669,6.452
5306.400,80.920,78.500,6.632
5307.622,83.244,79.104,6.420
5308.844,84.179,79.487,6.330
5310.067,84.720,79.321,6.409
5311.290,84.008,79.204,6.345
5312.513,84.118,79.606,6.575
5313.736,82.341,79.298,6.685
5314.960,82.846,79.383,6.570
5316.184,84.410,79.347,5.853
5317.408,81.232,78.945,5.765
5318.633,82.248,78.671,6.354
5319.858,81.142,78.999,6.460
5321.083,83.402,78.946,6.283
5322.308,83.217,78.825,6.280
5323.534,81.594,78.885,6.292
5324.760,79.293,79.030,6.503
5325.986,79.153,79.074,6.589
5327.212,80.606,78.983,6.281
5328.439,76.034,78.902,5.898
5329.666,75.229,78.985,5.902
5330.893,79.374,79.365,6.381
5332.121,83.156,79.314,6.792
5333.349,85.827,78.965,6.731
5334.577,83.018,79.376,6.561
5335.806,84.153,79.273,6.466
5337.034,82.704,79.710,6.253
5338.263,79.653,79.708,6.565
5339.493,81.820,79.664,6.535
5340.722,79.705,79.911,6.261
5341.952,78.192,79.811,6.457
5343.182,79.313,80.005,6.549
5344.413,81.622,79.817,6.478
5345.644,80.179,80.217,6.407
5346.875,81.317,80.609,6.323
5348.106,83.052,80.332,6.259
5349.338,80.232,79.986,6.530
5350.569,80.504,79.919,7.033
5351.802,81.250,80.330,6.843
5353.034,85.890,80.896,6.453
5354.267,81.427,80.996,6.361
5355.500,81.953,80.719,6.657
5356.733,84.416,80.741,7.116
5357.967,83.036,80.475,7.037
5359.200,83.935,81.102,6.804
5360.435,84.137,81.165,6.372
5361.669,85.050,81.130,6.368
5362.904,85.227,81.496,6.175
5364.139,81.715,81.367,6.100
5365.374,79.920,81.157,6.223
5366.610,80.396,81.400,6.213
5367.845,80.149,81.435,6.373
5369.082,79.595,81.234,6.298
5370.318,82.286,81.189,6.255
5371.555,78.775,81.372,6.039
5372.792,78.331,81.253,6.057
5374.029,80.089,81.071,6.294
5375.266,83.804,81.390,6.410
5376.504,84.728,81.756,6.781
5377.742,83.028,81.759,6.633
5378.981,84.939,81.727,6.646
5380.220,83.750,81.746,6.372
5381.459,82.145,82.022,6.328
5382.698,83.405,81.992,6.252
5383.937,84.364,82.100,6.091
5385.177,83.222,82.461,6.202
5386.417,83.992,82.343,6.415
5387.658,84.461,82.307,6.546
5388.898,85.745,81.983,6.419
5390.139,86.041,82.074,6.305
5391.381,83.605,82.092,5.893
5392.622,85.601,81.908,5.840
5393.864,84.788,82.341,5.912
5395.106,82.132,82.511,6.385
5396.349,82.768,82.772,6.213
5397.591,80.546,82.602,6.027
5398.834,80.533,82.385,5.929
5400.078,83.237,82.515,6.222
5401.321,83.710,82.613,6.206
5402.565,84.581,82.443,6.203
5403.809,83.802,82.270,6.188
5405.054,80.661,82.592,6.036
5406.298,79.063,83.194,5.989
5407.543,80.980,83.211,5.889
5408.789,83.363,82.424,6.265
5410.034,82.362,83.060,6.187
5411.280,81.317,82.807,6.244
5412.526,81.639,82.842,6.276
5413.772,86.404,83.203,6.321
5415.019,83.798,83.212,6.292
5416.266,85.476,83.062,6.386
5417.513,83.470,83.679,6.646
5418.761,84.737,83.537,6.693
5420.009,84.310,83.521,6.569
5421.257,86.521,83.671,6.396
5422.505,83.309,83.779,6.345
5423.754,83.791,83.980,6.485
5425.003,85.014,83.472,6.439
5426.253,83.238,83.458,6.164
5427.502,87.022,83.410,6.400
5428.752,86.566,83.497,6.586
5430.002,82.427,83.733,6.529
5431.253,84.707,83.554,6.272
5432.503,83.679,83.733,6.508
5433.754,87.411,83.930,6.682
5435.006,82.852,83.614,6.482
5436.257,83.229,83.590,6.461
5437.509,86.260,84.007,6.562
5438.761,86.223,83.882,6.609
5440.014,87.247,84.199,6.687
5441.267,88.961,83.896,6.767
5442.520,85.747,84.098,6.796
5443.773,87.896,84.518,6.807
5445.027,86.729,84.549,6.614
5446.280,84.084,84.457,6.541
5447.535,84.556,84.164,6.633
5448.789,80.573,83.763,6.708
5450.044,83.541,84.447,6.724
5451.299,88.544,85.000,6.776
5452.554,89.551,84.640,6.908
5453.810,87.278,84.584,6.798
5455.066,84.809,84.493,6.580
5456.322,86.510,84.444,6.555
5457.579,85.737,84.787,6.628
5458.835,87.633,85.031,7.519
5460.092,89.354,84.869,11.652
5461.350,89.794,84.827,20.424
5462.608,88.936,85.111,24.439
5463.865,83.644,84.941,17.606
5465.124,85.755,85.177,10.917
5466.382,86.268,85.293,8.230
5467.641,88.653,85.010,7.648
5468.900,86.317,85.136,7.298
5470.160,88.463,84.952,7.178
5471.419,88.319,85.183,7.325
5472.679,92.251,85.557,7.126
5473.940,87.477,85.703,7.090
5475.200,88.933,85.657,6.880
5476.461,86.115,85.638,6.917
5477.722,82.663,85.301,6.684
5478.984,85.803,85.428,6.466
5480.245,88.586,85.523,6.668
5481.507,88.008,85.321,6.980
5482.770,87.497,85.226,7.429
5484.032,88.589,85.614,7.496
5485.295,89.272,85.467,7.682
5486.558,91.534,85.792,7.534
5487.822,91.930,86.162,7.223
5489.086,90.392,86.189,6.831
5490.350,88.892,86.211,6.773
5491.614,90.103,86.705,6.740
5492.879,88.155,86.619,6.911
5494.144,90.180,85.884,6.756
5495.409,88.615,85.894,6.663
5496.674,87.840,86.243,6.869
5497.940,86.534,86.109,6.856
5499.206,86.486,85.820,7.050
5500.473,91.732,86.097,7.204
5501.739,86.706,86.392,7.037
5503.006,84.341,86.676,6.866
5504.273,87.623,86.491,6.819
5505.541,88.933,86.162,6.816
5506.809,88.127,86.625,6.954
5508.077,88.768,86.340,7.139
5509.345,88.025,86.100,6.831
5510.614,89.770,86.464,6.678
5511.883,88.754,86.620,6.832
5513.152,85.461,86.249,6.843
5514.422,86.666,86.241,7.062
5515.692,88.025,86.320,7.282
5516.962,88.685,86.469,7.413
5518.233,89.461,86.521,7.179
5519.503,90.231,86.304,7.039
5520.774,90.969,86.226,7.302
5522.046,87.180,86.840,7.657
5523.317,87.370,86.951,7.431
5524.589,87.294,86.856,7.086
5525.862,87.469,86.970,7.099
5527.134,89.869,87.301,7.048
5528.407,83.858,87.367,7.145
5529.680,83.502,86.934,6.827
5530.953,86.420,87.317,6.827
5532.227,88.838,86.972,6.898
5533.501,90.916,86.724,6.784
5534.775,89.961,87.021,6.766
5536.050,86.473,87.337,6.863
5537.325,88.902,87.062,6.836
5538.600,86.746,87.040,6.975
5539.875,87.930,87.249,7.118
5541.151,91.828,87.545,7.069
5542.427,89.646,87.634,7.556
5543.704,90.461,87.403,7.593
5544.980,90.494,87.229,7.492
5546.257,88.958,87.653,7.604
5547.534,90.062,87.482,7.162
5548.812,91.221,87.428,7.151
5550.090,91.438,87.723,7.203
5551.368,92.430,87.984,7.086
5552.646,91.178,87.987,6.894
5553.925,89.110,88.188,6.758
5555.204,90.012,87.466,6.812
5556.483,91.201,87.547,6.984
5557.763,90.229,87.986,6.752
5559.043,90.020,87.938,6.714
